3416.TW 融程電 現價:127.0
3419.TW 譁裕 現價:18.20
3426.TWO 台興 現價:-
3430.TWO 奇鈦科 現價:46.00
3432.TW 台端 現價:10.90
3434.TWO 哲固 現價:31.35
3437.TW 榮創 現價:17.55
3438.TWO 類比科 現價:61.4
3441.TWO 聯一光 現價:37.50
3443.TW 創意 現價:1345
3444.TWO 利機 現價:75.4
3447.TW 展達 現價:41.15
3450.TW 聯鈞 現價:42.20
3454.TW 晶睿 現價:167.5
3455.TWO 由田 現價:79.1
3465.TWO 進泰電子 現價:74.4
3466.TWO 致振 現價:24.20
3479.TWO 安勤 現價:98.3
3481.TW 群創 現價:-
3483.TWO 力致 現價:143.0
3484.TWO 崧騰 現價:41.30
3489.TWO 森寶 現價:11.40
3490.TWO 單井 現價:23.40
3491.TWO 昇達科 現價:138.5
3492.TWO 長盛 現價:19.20
3494.TW 誠研 現價:6.88
3498.TWO 陽程 現價:35.20
3499.TWO 環天科 現價:20.40
3501.TW 維熹 現價:49.20
3504.TW 揚明光 現價:63.3
